B04;B03;B02;B8A;feature_key
0.1204;0.1251;0.1018;0.3506;2
0.1226;0.1286;0.1031;0.3505;2
0.1212;0.1275;0.1038;0.3539;2
0.1215;0.1273;0.102;0.3556;2
0.1217;0.1277;0.1028;0.3471;2
0.1213;0.129;0.1034;0.3483;2
0.1207;0.1274;0.1029;0.3325;2
0.1196;0.1253;0.1027;0.3366;2
0.1205;0.1256;0.104;0.3301;2
0.1265;0.1284;0.1062;0.335;2
0.1246;0.1291;0.105;0.3274;2
0.1186;0.1207;0.1014;0.2809;2
0.1254;0.1275;0.1039;0.3308;2
0.1271;0.1299;0.1036;0.3702;2
0.1243;0.1293;0.1034;0.3758;2
0.124;0.13;0.1029;0.3689;2
0.1222;0.126;0.1027;0.3424;2
0.1245;0.1249;0.1035;0.3171;2
0.1125;0.1153;0.0997;0.262;2
0.1156;0.1218;0.1023;0.3145;2
0.1247;0.1298;0.1063;0.3502;2
0.1229;0.1287;0.1053;0.3361;2
0.1234;0.1299;0.1053;0.3326;2
0.1229;0.1276;0.1049;0.3024;2
0.1208;0.1249;0.1035;0.299;2
0.1277;0.1328;0.108;0.3161;2
0.1264;0.1282;0.1058;0.3218;2
0.1349;0.1298;0.1088;0.3177;2
0.1383;0.1347;0.1105;0.3423;2
0.1274;0.1315;0.1064;0.3289;2
0.1255;0.1289;0.1047;0.3389;2
0.1258;0.1294;0.103;0.3384;2
0.1246;0.1237;0.1033;0.3024;2
0.1291;0.135;0.1022;0.4175;2
0.126;0.1331;0.1023;0.3811;2
0.125;0.1354;0.1045;0.4121;2
0.1214;0.1299;0.105;0.3534;2
0.1209;0.1302;0.1046;0.3479;2
0.1216;0.1331;0.1041;0.3808;2
0.1294;0.1397;0.1049;0.3991;2
0.1298;0.1369;0.1039;0.3899;2
0.1242;0.134;0.1037;0.3872;2
0.1228;0.1341;0.1048;0.38;2
0.1222;0.1313;0.1031;0.3711;2
0.122;0.1337;0.1022;0.3691;2
0.1211;0.1341;0.1037;0.3794;2
0.1199;0.1302;0.1035;0.3778;2
0.125;0.1341;0.1067;0.3588;2
0.1222;0.1298;0.1053;0.3407;2
0.118;0.1246;0.1003;0.3473;2
0.1211;0.1262;0.1029;0.3428;2
0.1224;0.1294;0.1036;0.3499;2
0.1215;0.1296;0.1036;0.3503;2
0.1243;0.1327;0.1057;0.3537;2
0.1211;0.1274;0.1037;0.3349;2
0.1179;0.1251;0.1025;0.3234;2
0.1182;0.1265;0.1037;0.3604;2
0.1167;0.1234;0.1022;0.3483;2
0.1193;0.1264;0.1017;0.3784;2
0.1208;0.1287;0.1034;0.3594;2
0.1199;0.1294;0.1036;0.3713;2
0.1205;0.1258;0.1019;0.3336;2
0.126;0.1256;0.1069;0.2912;2
0.1193;0.1228;0.1033;0.3137;2
0.1242;0.1294;0.1056;0.3543;2
0.1249;0.129;0.1045;0.347;2
0.1245;0.1282;0.1038;0.3529;2
0.1216;0.1274;0.1028;0.365;2
0.1199;0.1271;0.1024;0.3612;2
0.1191;0.1262;0.1023;0.3472;2
0.1151;0.1179;0.0999;0.2857;2
0.1193;0.1269;0.1041;0.3402;2
0.1237;0.1311;0.1053;0.3604;2
0.1278;0.1319;0.1067;0.3288;2
0.1253;0.1284;0.1063;0.2955;2
0.1218;0.1266;0.1041;0.3028;2
0.1226;0.1257;0.1033;0.2811;2
0.1297;0.1344;0.1083;0.3231;2
0.1292;0.1362;0.1084;0.332;2
0.1269;0.1306;0.1069;0.3174;2
0.1307;0.1282;0.1084;0.3147;2
0.1374;0.1309;0.1108;0.3176;2
0.1307;0.132;0.1076;0.3447;2
0.1239;0.1294;0.1039;0.3374;2
