B04,B03,B02,B8A,label
0.1949,0.1412,0.1009,0.3034,3
0.206,0.1485,0.1074,0.3123,3
0.2121,0.1515,0.1071,0.3523,3
0.2491,0.1688,0.1166,0.387,3
0.2519,0.1699,0.1187,0.3868,3
0.2456,0.1644,0.1139,0.3805,3
0.246,0.1648,0.1133,0.379,3
0.247,0.1662,0.1148,0.3776,3
0.2421,0.1615,0.1119,0.3755,3
0.2301,0.1563,0.1073,0.3653,3
0.2065,0.1442,0.1,0.3346,3
0.2043,0.1447,0.1033,0.3164,3
0.2011,0.144,0.1029,0.3132,3
0.2063,0.1475,0.1064,0.3135,3
0.245,0.164,0.1123,0.3863,3
0.2389,0.1612,0.111,0.3726,3
0.2411,0.1618,0.1116,0.3736,3
0.2458,0.164,0.113,0.3804,3
0.2453,0.1638,0.1128,0.3772,3
0.2511,0.169,0.1172,0.387,3
0.2238,0.1527,0.1046,0.3587,3
0.2096,0.1442,0.1004,0.3321,3
0.2176,0.1488,0.1043,0.344,3
0.2168,0.1515,0.1078,0.3352,3
0.211,0.1502,0.1057,0.3322,3
0.2118,0.1517,0.1083,0.328,3
0.2438,0.1642,0.113,0.3819,3
0.2393,0.1608,0.1106,0.3738,3
0.2493,0.1678,0.1161,0.3834,3
0.2442,0.1628,0.112,0.378,3
0.2425,0.1622,0.1116,0.3785,3
0.2168,0.1486,0.1022,0.352,3
0.2122,0.1455,0.1011,0.334,3
0.2136,0.1478,0.1028,0.3401,3
0.2239,0.1534,0.1073,0.3508,3
0.2408,0.1609,0.1096,0.3838,3
0.2431,0.1631,0.1114,0.382,3
0.2423,0.1617,0.1111,0.3792,3
0.2319,0.156,0.106,0.3708,3
0.212,0.1457,0.0998,0.3421,3
0.2178,0.1486,0.1033,0.3383,3
0.2453,0.1645,0.1125,0.3863,3
0.2245,0.1531,0.1042,0.366,3
0.0182,0.0336,0.0163,0.3823,2
0.0194,0.0319,0.0167,0.3628,2
0.0385,0.0459,0.027,0.34,2
0.0186,0.0328,0.0165,0.359,2
0.0187,0.033,0.0169,0.3568,2
0.0177,0.0315,0.0156,0.3642,2
0.0188,0.0327,0.0152,0.3603,2
0.023,0.0367,0.0183,0.3596,2
0.0192,0.0343,0.0168,0.3644,2
0.0484,0.0548,0.0336,0.3443,2
0.02,0.0336,0.0176,0.3548,2
0.0187,0.032,0.0172,0.3619,2
0.0178,0.032,0.0162,0.3662,2
0.0178,0.0322,0.0155,0.3702,2
0.0183,0.0347,0.0169,0.3758,2
0.0205,0.0358,0.0176,0.3749,2
0.0251,0.0384,0.02,0.3669,2
0.0195,0.0328,0.0172,0.3481,2
0.0419,0.0495,0.0296,0.3514,2
0.051,0.0572,0.0349,0.3498,2
0.0303,0.0429,0.0241,0.3666,2
0.0183,0.032,0.0164,0.377,2
0.0193,0.0341,0.0176,0.3819,2
0.0203,0.0362,0.0181,0.366,2
0.019,0.0352,0.0168,0.3852,2
0.0184,0.0338,0.0165,0.3987,2
0.0178,0.0337,0.0166,0.4046,2
0.0282,0.0417,0.0219,0.3962,2
0.019,0.0346,0.0175,0.3703,2
0.0183,0.032,0.0168,0.348,2
0.0214,0.0355,0.0187,0.3635,2
0.0287,0.048,0.0239,0.4419,2
0.0441,0.0531,0.0314,0.3604,2
0.0227,0.0362,0.0192,0.3873,2
0.0182,0.0343,0.0168,0.4117,2
0.0186,0.0348,0.0171,0.3863,2
0.0195,0.0355,0.0173,0.3877,2
0.018,0.0353,0.0173,0.3996,2
0.0166,0.0324,0.0158,0.4111,2
0.0184,0.0344,0.0167,0.4121,2
0.0187,0.0347,0.0176,0.3816,2
0.0213,0.0358,0.0178,0.3803,2
0.0202,0.0344,0.0171,0.3651,2
0.0185,0.0338,0.0169,0.3649,2
0.0202,0.0332,0.0181,0.3456,2
0.0244,0.0391,0.0211,0.368,2
0.0228,0.0458,0.0218,0.4486,2
0.0232,0.0461,0.0215,0.4365,2
0.0275,0.0428,0.0221,0.3746,2
0.0231,0.0381,0.0203,0.3928,2
0.0179,0.0325,0.0167,0.4029,2
0.0192,0.0345,0.0175,0.4052,2
0.0203,0.0365,0.0178,0.3939,2
0.0189,0.0348,0.017,0.3972,2
0.0188,0.0352,0.0176,0.4084,2
0.0205,0.0343,0.0176,0.3837,2
0.0195,0.0354,0.018,0.3986,2
0.0203,0.0368,0.0186,0.4159,2
0.0221,0.037,0.0195,0.3802,2
0.0191,0.0346,0.0172,0.3697,2
0.0185,0.0337,0.0171,0.3605,2
0.0253,0.0384,0.0195,0.357,2
0.0207,0.0338,0.0177,0.3492,2
0.0263,0.0443,0.0224,0.4012,2
0.0272,0.0474,0.0227,0.4038,2
0.0219,0.0437,0.0203,0.4079,2
0.0194,0.0339,0.0168,0.3473,2
0.0194,0.0327,0.0168,0.3533,2
0.0232,0.0367,0.0194,0.355,2
0.0187,0.0342,0.0172,0.4038,2
0.0183,0.0342,0.0168,0.4127,2
0.0197,0.038,0.0181,0.3937,2
0.0189,0.0353,0.0171,0.3917,2
0.0187,0.0345,0.0167,0.4012,2
0.0197,0.0367,0.0186,0.4019,2
0.0201,0.0389,0.0192,0.4432,2
0.0188,0.0366,0.0175,0.421,2
0.0179,0.0335,0.0161,0.3893,2
