band,y,x,spatial_ref,y,x,class,reflectance
B04,4867710.0,360390.0,0,4867710.0,360390.0,2,0.056
B04,4867710.0,360450.0,0,4867710.0,360450.0,2,0.0554
B04,4867710.0,360510.0,0,4867710.0,360510.0,2,0.0523
B04,4867710.0,360570.0,0,4867710.0,360570.0,2,0.0463
B04,4867710.0,360630.0,0,4867710.0,360630.0,2,0.0453
B04,4867710.0,360690.0,0,4867710.0,360690.0,2,0.0437
B04,4867710.0,360750.0,0,4867710.0,360750.0,2,0.0488
B04,4867710.0,360810.0,0,4867710.0,360810.0,2,0.0484
B04,4867710.0,360870.0,0,4867710.0,360870.0,2,0.0435
B04,4867710.0,360930.0,0,4867710.0,360930.0,2,0.0447
B04,4867710.0,360990.0,0,4867710.0,360990.0,2,0.045
B04,4867710.0,361050.0,0,4867710.0,361050.0,2,0.0468
B04,4867710.0,361110.0,0,4867710.0,361110.0,2,0.0459
B04,4867710.0,361170.0,0,4867710.0,361170.0,2,0.0408
B04,4867710.0,361230.0,0,4867710.0,361230.0,2,0.0448
B04,4867710.0,361290.0,0,4867710.0,361290.0,2,0.044
B04,4867650.0,360330.0,0,4867650.0,360330.0,2,0.0526
B04,4867650.0,360390.0,0,4867650.0,360390.0,2,0.05
B04,4867650.0,360450.0,0,4867650.0,360450.0,2,0.0476
B04,4867650.0,360510.0,0,4867650.0,360510.0,2,0.0478
B04,4867650.0,360570.0,0,4867650.0,360570.0,2,0.0421
B04,4867650.0,360630.0,0,4867650.0,360630.0,2,0.0454
B04,4867650.0,360690.0,0,4867650.0,360690.0,2,0.0442
B04,4867650.0,360750.0,0,4867650.0,360750.0,2,0.047
B04,4867650.0,360810.0,0,4867650.0,360810.0,2,0.0504
B04,4867650.0,360870.0,0,4867650.0,360870.0,2,0.0471
B04,4867650.0,360930.0,0,4867650.0,360930.0,2,0.0426
B04,4867650.0,360990.0,0,4867650.0,360990.0,2,0.0488
B04,4867650.0,361050.0,0,4867650.0,361050.0,2,0.0434
B04,4867650.0,361110.0,0,4867650.0,361110.0,2,0.0403
B04,4867650.0,361170.0,0,4867650.0,361170.0,2,0.0388
B04,4867650.0,361230.0,0,4867650.0,361230.0,2,0.0406
B04,4867650.0,361290.0,0,4867650.0,361290.0,2,0.0429
B04,4867590.0,360270.0,0,4867590.0,360270.0,2,0.0481
B04,4867590.0,360330.0,0,4867590.0,360330.0,2,0.0454
B04,4867590.0,360390.0,0,4867590.0,360390.0,2,0.0476
B04,4867590.0,360450.0,0,4867590.0,360450.0,2,0.0452
B04,4867590.0,360510.0,0,4867590.0,360510.0,2,0.041
B04,4867590.0,360570.0,0,4867590.0,360570.0,2,0.0445
B04,4867590.0,360630.0,0,4867590.0,360630.0,2,0.0515
B04,4867590.0,360690.0,0,4867590.0,360690.0,2,0.0471
B04,4867590.0,360750.0,0,4867590.0,360750.0,2,0.044
B04,4867590.0,360810.0,0,4867590.0,360810.0,2,0.0476
B04,4867590.0,360870.0,0,4867590.0,360870.0,2,0.0423
B04,4867590.0,360930.0,0,4867590.0,360930.0,2,0.0412
B04,4867590.0,360990.0,0,4867590.0,360990.0,2,0.0397
B04,4867590.0,361050.0,0,4867590.0,361050.0,2,0.0385
B04,4867590.0,361110.0,0,4867590.0,361110.0,2,0.0334
B04,4867590.0,361170.0,0,4867590.0,361170.0,2,0.0325
B04,4867590.0,361230.0,0,4867590.0,361230.0,2,0.0291
B04,4867590.0,361290.0,0,4867590.0,361290.0,2,0.0326
B04,4867590.0,361350.0,0,4867590.0,361350.0,2,0.0446
B04,4867530.0,360210.0,0,4867530.0,360210.0,2,0.0485
B04,4867530.0,360270.0,0,4867530.0,360270.0,2,0.0495
B04,4867530.0,360330.0,0,4867530.0,360330.0,2,0.0523
B04,4867530.0,360390.0,0,4867530.0,360390.0,2,0.0503
B04,4867530.0,360450.0,0,4867530.0,360450.0,2,0.0481
B04,4867530.0,360510.0,0,4867530.0,360510.0,2,0.0448
B04,4867530.0,360570.0,0,4867530.0,360570.0,2,0.0469
B04,4867530.0,360630.0,0,4867530.0,360630.0,2,0.0474
B04,4867530.0,360690.0,0,4867530.0,360690.0,2,0.0475
B04,4867530.0,360750.0,0,4867530.0,360750.0,2,0.0427
B04,4867530.0,360810.0,0,4867530.0,360810.0,2,0.0436
B04,4867530.0,360870.0,0,4867530.0,360870.0,2,0.038
B04,4867530.0,360930.0,0,4867530.0,360930.0,2,0.0351
B04,4867530.0,360990.0,0,4867530.0,360990.0,2,0.034
B04,4867530.0,361050.0,0,4867530.0,361050.0,2,0.0359
B04,4867530.0,361110.0,0,4867530.0,361110.0,2,0.0344
B04,4867530.0,361170.0,0,4867530.0,361170.0,2,0.0285
B04,4867530.0,361230.0,0,4867530.0,361230.0,2,0.0276
B04,4867530.0,361290.0,0,4867530.0,361290.0,2,0.0338
B04,4867530.0,361350.0,0,4867530.0,361350.0,2,0.0398
B04,4867470.0,360210.0,0,4867470.0,360210.0,2,0.0399
B04,4867470.0,360270.0,0,4867470.0,360270.0,2,0.0449
B04,4867470.0,360330.0,0,4867470.0,360330.0,2,0.0537
B04,4867470.0,360390.0,0,4867470.0,360390.0,2,0.0477
B04,4867470.0,360450.0,0,4867470.0,360450.0,2,0.0488
B04,4867470.0,360510.0,0,4867470.0,360510.0,2,0.0446
B04,4867470.0,360570.0,0,4867470.0,360570.0,2,0.046
B04,4867470.0,360630.0,0,4867470.0,360630.0,2,0.0451
B04,4867470.0,360690.0,0,4867470.0,360690.0,2,0.0427
B04,4867470.0,360750.0,0,4867470.0,360750.0,2,0.0387
B04,4867470.0,360810.0,0,4867470.0,360810.0,2,0.0426
B04,4867470.0,360870.0,0,4867470.0,360870.0,2,0.0425
B04,4867470.0,360930.0,0,4867470.0,360930.0,2,0.0379
B04,4867470.0,360990.0,0,4867470.0,360990.0,2,0.0372
B04,4867470.0,361050.0,0,4867470.0,361050.0,2,0.0372
B04,4867470.0,361110.0,0,4867470.0,361110.0,2,0.0341
B04,4867470.0,361170.0,0,4867470.0,361170.0,2,0.0308
B04,4867470.0,361230.0,0,4867470.0,361230.0,2,0.0286
B04,4867470.0,361290.0,0,4867470.0,361290.0,2,0.0322
B04,4867470.0,361350.0,0,4867470.0,361350.0,2,0.0382
B04,4867410.0,360210.0,0,4867410.0,360210.0,2,0.0448
B04,4867410.0,360270.0,0,4867410.0,360270.0,2,0.0491
B04,4867410.0,360330.0,0,4867410.0,360330.0,2,0.0462
B04,4867410.0,360390.0,0,4867410.0,360390.0,2,0.0472
B04,4867410.0,360450.0,0,4867410.0,360450.0,2,0.0483
B04,4867410.0,360510.0,0,4867410.0,360510.0,2,0.0491
B04,4867410.0,360570.0,0,4867410.0,360570.0,2,0.0503
B04,4867410.0,360630.0,0,4867410.0,360630.0,2,0.0473
B04,4867410.0,360690.0,0,4867410.0,360690.0,2,0.0457
B04,4867410.0,360750.0,0,4867410.0,360750.0,2,0.0393
B04,4867410.0,360810.0,0,4867410.0,360810.0,2,0.0416
B04,4867410.0,360870.0,0,4867410.0,360870.0,2,0.0402
B04,4867410.0,360930.0,0,4867410.0,360930.0,2,0.04
B04,4867410.0,360990.0,0,4867410.0,360990.0,2,0.0395
B04,4867410.0,361050.0,0,4867410.0,361050.0,2,0.0373
B04,4867410.0,361110.0,0,4867410.0,361110.0,2,0.0313
B04,4867410.0,361170.0,0,4867410.0,361170.0,2,0.032
B04,4867410.0,361230.0,0,4867410.0,361230.0,2,0.0316
B04,4867410.0,361290.0,0,4867410.0,361290.0,2,0.0298
B04,4867410.0,361350.0,0,4867410.0,361350.0,2,0.0387
B04,4867410.0,361410.0,0,4867410.0,361410.0,2,0.0353
B04,4867350.0,360210.0,0,4867350.0,360210.0,2,0.0413
B04,4867350.0,360270.0,0,4867350.0,360270.0,2,0.0462
B04,4867350.0,360330.0,0,4867350.0,360330.0,2,0.0517
B04,4867350.0,360390.0,0,4867350.0,360390.0,2,0.0512
B04,4867350.0,360450.0,0,4867350.0,360450.0,2,0.0494
B04,4867350.0,360510.0,0,4867350.0,360510.0,2,0.0525
B04,4867350.0,360570.0,0,4867350.0,360570.0,2,0.0476
B04,4867350.0,360630.0,0,4867350.0,360630.0,2,0.0463
B04,4867350.0,360690.0,0,4867350.0,360690.0,2,0.0429
B04,4867350.0,360750.0,0,4867350.0,360750.0,2,0.0411
B04,4867350.0,360810.0,0,4867350.0,360810.0,2,0.0441
B04,4867350.0,360870.0,0,4867350.0,360870.0,2,0.0435
B04,4867350.0,360930.0,0,4867350.0,360930.0,2,0.0436
B04,4867350.0,360990.0,0,4867350.0,360990.0,2,0.0389
B04,4867350.0,361050.0,0,4867350.0,361050.0,2,0.0353
B04,4867350.0,361110.0,0,4867350.0,361110.0,2,0.0351
B04,4867350.0,361170.0,0,4867350.0,361170.0,2,0.0379
B04,4867350.0,361230.0,0,4867350.0,361230.0,2,0.0372
B04,4867350.0,361290.0,0,4867350.0,361290.0,2,0.0324
B04,4867350.0,361350.0,0,4867350.0,361350.0,2,0.0353
B04,4867350.0,361410.0,0,4867350.0,361410.0,2,0.0405
B04,4867290.0,360210.0,0,4867290.0,360210.0,2,0.0409
B04,4867290.0,360270.0,0,4867290.0,360270.0,2,0.0458
B04,4867290.0,360330.0,0,4867290.0,360330.0,2,0.0494
B04,4867290.0,360390.0,0,4867290.0,360390.0,2,0.05
B04,4867290.0,360450.0,0,4867290.0,360450.0,2,0.0458
B04,4867290.0,360510.0,0,4867290.0,360510.0,2,0.0486
B04,4867290.0,360570.0,0,4867290.0,360570.0,2,0.0477
B04,4867290.0,360630.0,0,4867290.0,360630.0,2,0.0475
B04,4867290.0,360690.0,0,4867290.0,360690.0,2,0.0399
B04,4867290.0,360750.0,0,4867290.0,360750.0,2,0.0427
B04,4867290.0,360810.0,0,4867290.0,360810.0,2,0.0435
B04,4867290.0,360870.0,0,4867290.0,360870.0,2,0.0466
B04,4867290.0,360930.0,0,4867290.0,360930.0,2,0.0445
B04,4867290.0,360990.0,0,4867290.0,360990.0,2,0.0407
B04,4867290.0,361050.0,0,4867290.0,361050.0,2,0.037
B04,4867290.0,361110.0,0,4867290.0,361110.0,2,0.0412
B04,4867290.0,361170.0,0,4867290.0,361170.0,2,0.0451
B04,4867290.0,361230.0,0,4867290.0,361230.0,2,0.0423
B04,4867290.0,361290.0,0,4867290.0,361290.0,2,0.0436
B04,4867290.0,361350.0,0,4867290.0,361350.0,2,0.0448
B04,4867290.0,361410.0,0,4867290.0,361410.0,2,0.0478
B04,4867230.0,360210.0,0,4867230.0,360210.0,2,0.0412
B04,4867230.0,360270.0,0,4867230.0,360270.0,2,0.0406
B04,4867230.0,360330.0,0,4867230.0,360330.0,2,0.0448
B04,4867230.0,360390.0,0,4867230.0,360390.0,2,0.0489
B04,4867230.0,360450.0,0,4867230.0,360450.0,2,0.0411
B04,4867230.0,360510.0,0,4867230.0,360510.0,2,0.0424
B04,4867230.0,360570.0,0,4867230.0,360570.0,2,0.0444
B04,4867230.0,360630.0,0,4867230.0,360630.0,2,0.0444
B04,4867230.0,360690.0,0,4867230.0,360690.0,2,0.0412
B04,4867230.0,360750.0,0,4867230.0,360750.0,2,0.0412
B04,4867230.0,360810.0,0,4867230.0,360810.0,2,0.0415
B04,4867230.0,360870.0,0,4867230.0,360870.0,2,0.0405
B04,4867230.0,360930.0,0,4867230.0,360930.0,2,0.0437
B04,4867230.0,360990.0,0,4867230.0,360990.0,2,0.0482
B04,4867230.0,361050.0,0,4867230.0,361050.0,2,0.045
B04,4867230.0,361110.0,0,4867230.0,361110.0,2,0.0542
B04,4867230.0,361170.0,0,4867230.0,361170.0,2,0.0493
B04,4867230.0,361230.0,0,4867230.0,361230.0,2,0.0443
B04,4867230.0,361290.0,0,4867230.0,361290.0,2,0.0448
B04,4867230.0,361350.0,0,4867230.0,361350.0,2,0.0471
B04,4867230.0,361410.0,0,4867230.0,361410.0,2,0.0512
B04,4867170.0,360210.0,0,4867170.0,360210.0,2,0.0416
B04,4867170.0,360270.0,0,4867170.0,360270.0,2,0.0428
B04,4867170.0,360330.0,0,4867170.0,360330.0,2,0.0443
B04,4867170.0,360390.0,0,4867170.0,360390.0,2,0.0467
B04,4867170.0,360450.0,0,4867170.0,360450.0,2,0.0453
B04,4867170.0,360510.0,0,4867170.0,360510.0,2,0.0448
B04,4867170.0,360570.0,0,4867170.0,360570.0,2,0.0459
B04,4867170.0,360630.0,0,4867170.0,360630.0,2,0.0445
B04,4867170.0,360690.0,0,4867170.0,360690.0,2,0.0498
B04,4867170.0,360750.0,0,4867170.0,360750.0,2,0.0422
B04,4867170.0,360810.0,0,4867170.0,360810.0,2,0.043
B04,4867170.0,360870.0,0,4867170.0,360870.0,2,0.0424
B04,4867170.0,360930.0,0,4867170.0,360930.0,2,0.0465
B04,4867170.0,360990.0,0,4867170.0,360990.0,2,0.0446
B04,4867170.0,361050.0,0,4867170.0,361050.0,2,0.0444
B04,4867170.0,361110.0,0,4867170.0,361110.0,2,0.0444
B04,4867170.0,361170.0,0,4867170.0,361170.0,2,0.0462
B04,4867170.0,361230.0,0,4867170.0,361230.0,2,0.0461
B04,4867170.0,361290.0,0,4867170.0,361290.0,2,0.0473
B04,4867170.0,361350.0,0,4867170.0,361350.0,2,0.0556
B04,4867170.0,361410.0,0,4867170.0,361410.0,2,0.0524
